target,setting,source,model,gender,metric,seed,value
liver_viscosity,full,demo,ridge,male,pearson_r,12,0.21985348171358035
liver_viscosity,full,demo,ridge,male,pearson_r,13,0.22024364104292815
liver_viscosity,full,demo,ridge,male,pearson_r,14,0.22206687544022138
liver_viscosity,full,demo,ridge,female,pearson_r,0,0.2735526805639508
liver_viscosity,full,demo,ridge,female,pearson_r,1,0.27556735741662164
liver_viscosity,full,demo,ridge,female,pearson_r,2,0.2759310582417359
liver_viscosity,full,demo,ridge,female,pearson_r,3,0.273553977960147
liver_viscosity,full,demo,ridge,female,pearson_r,4,0.2717045539932029
liver_viscosity,full,demo,ridge,female,pearson_r,5,0.27658593263600106
liver_viscosity,full,demo,ridge,female,pearson_r,6,0.2724208997158521
liver_viscosity,full,demo,ridge,female,pearson_r,7,0.2740458659074859
liver_viscosity,full,demo,ridge,female,pearson_r,8,0.2742081339287283
liver_viscosity,full,demo,ridge,female,pearson_r,9,0.27087702381936735
liver_viscosity,full,demo,ridge,female,pearson_r,10,0.2760763675088797
liver_viscosity,full,demo,ridge,female,pearson_r,11,0.27552863957090556
liver_viscosity,full,demo,ridge,female,pearson_r,12,0.2744382181476035
liver_viscosity,full,demo,ridge,female,pearson_r,13,0.27492026827432103
liver_viscosity,full,demo,ridge,female,pearson_r,14,0.27479183640603555
liver_viscosity,full,demo,ridge,overall,pearson_r,0,0.26256813497387943
liver_viscosity,full,demo,ridge,overall,pearson_r,1,0.2644292768881856
liver_viscosity,full,demo,ridge,overall,pearson_r,2,0.2647151540224611
liver_viscosity,full,demo,ridge,overall,pearson_r,3,0.2632208648929727
liver_viscosity,full,demo,ridge,overall,pearson_r,4,0.2614237369599452
liver_viscosity,full,demo,ridge,overall,pearson_r,5,0.2645735239234934
liver_viscosity,full,demo,ridge,overall,pearson_r,6,0.2609440164408267
liver_viscosity,full,demo,ridge,overall,pearson_r,7,0.2635353361617965
liver_viscosity,full,demo,ridge,overall,pearson_r,8,0.26216427885643484
liver_viscosity,full,demo,ridge,overall,pearson_r,9,0.26212939695091675
liver_viscosity,full,demo,ridge,overall,pearson_r,10,0.263870169639557
liver_viscosity,full,demo,ridge,overall,pearson_r,11,0.2635749217001077
liver_viscosity,full,demo,ridge,overall,pearson_r,12,0.2625693140328437
liver_viscosity,full,demo,ridge,overall,pearson_r,13,0.26275068055697687
liver_viscosity,full,demo,ridge,overall,pearson_r,14,0.263560085686688
liver_viscosity,full,clinical,lgbm,male,pearson_r,0,0.22215107711035914
liver_viscosity,full,clinical,lgbm,male,pearson_r,1,0.21822372627081796
liver_viscosity,full,clinical,lgbm,male,pearson_r,2,0.22337203917392845
liver_viscosity,full,clinical,lgbm,male,pearson_r,3,0.22062648903177423
liver_viscosity,full,clinical,lgbm,male,pearson_r,4,0.2313539317174781
liver_viscosity,full,clinical,lgbm,male,pearson_r,5,0.22872561575609163
liver_viscosity,full,clinical,lgbm,male,pearson_r,6,0.21367988138555943
liver_viscosity,full,clinical,lgbm,male,pearson_r,7,0.2283814640759383
liver_viscosity,full,clinical,lgbm,male,pearson_r,8,0.23449955186746568
liver_viscosity,full,clinical,lgbm,male,pearson_r,9,0.22966979916589222
liver_viscosity,full,clinical,lgbm,male,pearson_r,10,0.21511350948726132
liver_viscosity,full,clinical,lgbm,male,pearson_r,11,0.2216146750585332
liver_viscosity,full,clinical,lgbm,male,pearson_r,12,0.2177882849695276
liver_viscosity,full,clinical,lgbm,male,pearson_r,13,0.20871301669476977
liver_viscosity,full,clinical,lgbm,male,pearson_r,14,0.22998317856179507
liver_viscosity,full,clinical,lgbm,female,pearson_r,0,0.23619953802784857
liver_viscosity,full,clinical,lgbm,female,pearson_r,1,0.234293225414378
liver_viscosity,full,clinical,lgbm,female,pearson_r,2,0.2393141902228186
liver_viscosity,full,clinical,lgbm,female,pearson_r,3,0.23396206079570503
liver_viscosity,full,clinical,lgbm,female,pearson_r,4,0.24070898047313632
