system,label,model,sub_model,n_subjects_all,n_subjects_male,n_subjects_female,n_subjects_unknown_sex,n_observations_all,n_observations_male,n_observations_female
bone_density,femur_neck_mean_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_right_lower_neck_area,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_lower_neck_bmc,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_lower_neck_bmd,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_neck_area,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_neck_bmc,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_neck_bmd,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_shaft_area,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_shaft_bmc,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_shaft_bmd,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_total_area,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_total_bmc,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_total_bmd,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_troch_area,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_troch_bmc,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_troch_bmd,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_upper_neck_area,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_upper_neck_bmc,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_upper_neck_bmd,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_wards_area,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_wards_bmc,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_right_wards_bmd,gait_no_room_A,ensemble,2641,1288,1353,0,2641,1288,1353
bone_density,femur_shaft_diff_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_shaft_diff_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_shaft_diff_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_shaft_mean_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_shaft_mean_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_shaft_mean_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_total_diff_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_total_diff_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_total_diff_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_total_mean_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_total_mean_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_total_mean_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_troch_diff_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_troch_diff_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_troch_diff_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_troch_mean_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_troch_mean_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_troch_mean_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_upper_neck_diff_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_upper_neck_diff_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_upper_neck_diff_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_upper_neck_mean_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_upper_neck_mean_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_upper_neck_mean_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_wards_diff_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_wards_diff_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_wards_diff_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_wards_mean_area,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_wards_mean_bmc,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,femur_wards_mean_bmd,gait_no_room_A,ensemble,2632,1284,1348,0,2632,1284,1348
bone_density,spine_l1_area,gait_no_room_A,ensemble,2645,1288,1357,0,2645,1288,1357
bone_density,spine_l1_average_height,gait_no_room_A,ensemble,2645,1288,1357,0,2645,1288,1357
bone_density,spine_l1_average_width,gait_no_room_A,ensemble,2645,1288,1357,0,2645,1288,1357
